,sex,foreigner,national_group,province_resid,age_atmaincrime,dateofbirth,priorcrimes_dummy,priorcrimes_number_group,maincrime_cat,maincrime_violent,totalmaincrimes_number,maincrime_date,province_execution,maincrime_program,maincrime_program2,maincrime_program_group,maincrime_programduration_group,V28_temps_inici,V29_durada_programa,V30_data_inici_programa,V31_data_fi_programa,V54_SAVRYprograma,V55_SAVRYdata,V56_@R1_resum_risc_global_reverse,V57_@R2_resum_risc_delictes_violents,V58_@R3_resum_risc_violencia_centre,V59_@R4_resum_risc_sortides_permisos,V60_SAVRY_total_score,V61_SAVRY_historics_total_score,V62_SAVRY_socials_total_score,V63_SAVRY_individuals_total_score,V64_SAVRY_proteccio_total_score,V65_@1_violencia_previa,V66_@2_historia_delictes_no_violents,V67_@3_inici_precoç_violencia,V68_@4_fracas_intervencions_anteriors,V69_@5_intents_autolesio_suicidi_anteriors,V70_@6_exposicio_violencia_llar,V71_@7_historia_maltracte_infantil,V72_@8_delinquencia_pares,V73_@9_separacio_precoç_pares,V74_@10_baix_rendiment_escola,V75_@11_delinquencia_grup_iguals,V76_@12_rebuig_grup_iguals,V77_@13_estrés_incapacitat_enfrontar_dificultats,V78_@14_escassa_habilitat_pares_educar,V79_@15_manca_suport_personal_social,V80_@16_entorn_marginal,V81_@17_actitud_negatives,V82_@18_assumpcio_riscos_impulsivitat,V83_@19_problemes_consum_toxics,V84_@20_problemes_maneig_enuig,V85_@21_baix_nivell_empatia_remordiment,V86_@22_problemes_concentracio_hiperactivitat,V87_@23_baixa_colaboracio_intervencions,V88_@24_baix_compromis_escolar_laboral,V89_@P1_impicacio_prosocial,V90_@P2_suport_social_fort,V91_@P3_forta_vinculacio_adult_prosocial,V92_@P4_actitud_positiva_intervencions_autoritat,V93_@P5_fort_compromis_escola_treball,V94_@P6_perseverança_tret_personalitat,V95_FACT1mean_ANTISOCIAL,V96_FACT2mean_DINAMICAFAM,V97_FACT3mean_PERSONALITAT,V98_FACT4mean_SUPORTSOCIAL,V99_FACT5mean_SUSCEPTIBILITAT,recid15_date,recid15_age,recid15_number,recid15_durat_group,recid15_crime_group,recid15_crime_viol,recid15_program,recid15_program_group,recid15_totsum,recid15_dummy,recid13_date,recid13_age,recid13_number,recid13_durat_group,recid13_crime_group,recid13_crime_viol,recid13_program,recid13_program_group,recid13_totsum,recid13_dummy,maincrime_year,recid15_viol
0,Home,Espanyol,Spain,Lleida,15.0,1992-11-10,Amb antecedents,3 fets o més,Contra les persones,Violent,4,2008-08-27,Lleida,Internament en centre,Mesures d'execució,Internament,Menys de 6 mesos,587.0,132,2010-04-06,2010-08-16,Internament,2010-08-02,Moderada,Moderada,Moderada,Moderada,30.0,13.0,6.0,11.0,1.0,Alt,Moderat,Alt,Baix,Moderat,Moderat,Baix,Alt,Alt,Alt,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Alt,Alt,Moderat,Alt,Moderat,Moderat,Present,Present,Present,Present,Absent,Present,1.29,1.25,1.29,0.6,0.71,2012-03-30 00:00:00,19.0,2.0,D'1 a 2 anys,Contra la propietat no violent,No violent,SIPC - Preventiva,Presó,2 o 3 reincidències,Sí,2012-03-30 00:00:00,19.0,2.0,D'1 a 2 anys,Contra la propietat no violent,No violent,SIPC - Preventiva,Presó,2 o 3 reincidències,Sí,2008,False
1,Dona,Espanyol,Spain,Barcelona,14.0,1995-07-02,Amb antecedents,2 fets,Contra les persones,Violent,2,2009-08-24,Barcelona,Internament en centre,Mesures d'execució,Internament,De 6 mesos a 1 any,107.0,258,2009-12-09,2010-08-24,Internament,2010-05-05,Alta,Alta,Moderada,Moderada,27.0,12.0,8.0,7.0,3.0,Alt,Moderat,Moderat,Alt,Alt,Alt,Moderat,Baix,Baix,Moderat,Alt,Baix,Moderat,Alt,Moderat,Alt,Moderat,Moderat,Alt,Moderat,Moderat,Baix,Baix,Moderat,Absent,Absent,Present,Present,Present,Absent,1.71,0.75,0.71,1.2,0.57,2013-05-09 00:00:00,17.0,2.0,De 2 a 3 anys,Contra la propietat no violent,No violent,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí,2013-05-09 00:00:00,17.0,2.0,De 2 a 3 anys,Contra la propietat no violent,No violent,Assessorament tècnic menors,ATM,2 o 3 reincidències,Sí,2009,False
4,Home,Espanyol,Spain,Tarragona,17.0,1990-09-23,Amb antecedents,3 fets o més,Contra les persones,Violent,3,2008-09-02,Tarragona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,261.0,533,2009-05-21,2010-11-05,Internament,2010-09-07,Alta,notapplicable,Moderada,Alta,31.0,15.0,10.0,6.0,2.0,Alt,Alt,Alt,Moderat,Baix,Baix,Alt,Alt,Alt,Alt,Moderat,Alt,Alt,Moderat,Alt,Alt,Baix,Baix,Moderat,Alt,Moderat,Baix,Moderat,Moderat,Absent,Present,Present,Present,Absent,Present,1.29,1.5,1.0,1.0,0.86,2012-12-24 00:00:00,22.0,1.0,De 2 a 3 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2012-12-24 00:00:00,22.0,1.0,De 2 a 3 anys,Altres,No violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2008,False
5,Home,Espanyol,Spain,Barcelona,16.0,1992-04-04,Amb antecedents,1 fet,Contra les persones,Violent,1,2008-07-15,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,420.0,212,2009-09-08,2010-04-09,Llibertat vigilada,2010-04-07,Moderada,notapplicable,notapplicable,notapplicable,20.0,9.0,3.0,8.0,2.0,Alt,Alt,Moderat,Baix,Baix,Moderat,Baix,Baix,Moderat,Alt,Moderat,Baix,Alt,Baix,Baix,Baix,Moderat,Alt,Moderat,Moderat,Moderat,Moderat,Moderat,Baix,Absent,Present,Present,Present,Present,Absent,1.0,0.5,1.14,0.0,0.71,2012-06-05 00:00:00,20.0,1.0,De 2 a 3 anys,Contra les persones,Violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2012-06-05 00:00:00,20.0,1.0,De 2 a 3 anys,Contra les persones,Violent,MPA - Treballs en benefici de la comunitat,TBC,1 reincidència,Sí,2008,True
6,Home,Espanyol,Spain,unknown,15.0,1991-10-30,Amb antecedents,1 fet,Contra les persones,Violent,1,2007-02-19,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Més d'1 any,745.0,505,2009-03-05,2010-07-24,Llibertat vigilada,2010-07-20,Moderada,notapplicable,notapplicable,notapplicable,26.0,11.0,7.0,8.0,4.0,Baix,Alt,Baix,Moderat,Moderat,Moderat,Alt,Baix,Alt,Alt,Moderat,Moderat,Alt,Alt,Moderat,Baix,Moderat,Alt,Alt,Moderat,Baix,Moderat,Moderat,Baix,Absent,Present,Absent,Present,Absent,Absent,1.0,1.25,1.14,0.8,0.86,2011-09-15 00:00:00,19.0,2.0,D'1 a 2 anys,Contra la propietat no violent,No violent,SIPC - Localització permanent,LP,2 o 3 reincidències,Sí,2011-09-15 00:00:00,19.0,1.0,D'1 a 2 anys,Contra la propietat no violent,No violent,SIPC - Localització permanent,LP,1 reincidència,Sí,2007,False
7,Home,Espanyol,Spain,Barcelona,17.0,1990-10-16,Amb antecedents,3 fets o més,Contra les persones,Violent,4,2008-09-15,Barcelona,Llibertat vigilada,Mesures d'execució,LV,Menys de 6 mesos,547.0,118,2010-03-16,2010-07-13,Llibertat vigilada,2010-04-07,Moderada,notapplicable,notapplicable,notapplicable,19.0,8.0,5.0,6.0,4.0,Moderat,Moderat,Baix,Moderat,Baix,Moderat,Moderat,Baix,Alt,Moderat,Moderat,Baix,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Moderat,Baix,Baix,Moderat,Moderat,Absent,Absent,Absent,Present,Absent,Present,0.71,1.0,0.57,1.0,0.71,2010-11-01 00:00:00,20.0,1.0,Menys de 6 mesos,Altres,No violent,MPA - Programes formatius,Altres MPA,1 reincidència,Sí,2010-11-01 00:00:00,20.0,1.0,Menys de 6 mesos,Altres,No violent,MPA - Programes formatius,Altres MPA,1 reincidència,Sí,2008,False
9,Home,Espanyol,Spain,Barcelona,17.0,1990-08-02,Amb antecedents,1 fet,Contra les persones,Violent,1,2008-03-09,Barcelona,Llibertat vigilada,Mesures d'execució,LV,De 6 mesos a 1 any,541.0,302,2009-09-01,2010-07-01,Llibertat vigilada,2010-05-27,Alta,notapplicable,notapplicable,notapplicable,24.0,8.0,5.0,11.0,4.0,Alt,Alt,Baix,Alt,Baix,Baix,Baix,Baix,Baix,Alt,Moderat,Baix,Alt,Moderat,Baix,Moderat,Moderat,Moderat,Alt,Moderat,Moderat,Moderat,Alt,Alt,Absent,Present,Present,Absent,Absent,Absent,1.29,0.0,1.0,0.4,1.43,2012-02-06 00:00:00,21.0,2.0,D'1 a 2 anys,Contra la propietat no violent,No violent,SIPC - Localització permanent,LP,2 o 3 reincidències,Sí,2012-02-06 00:00:00,21.0,1.0,D'1 a 2 anys,Contra la propietat no violent,No violent,SIPC - Localització permanent,LP,1 reincidència,Sí,2008,False
14,Home,Espanyol,Spain,Lleida,16.0,1993-11-06,Amb antecedents,2 fets,Contra les persones,Violent,2,2010-02-13,Lleida,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,44.0,0,2010-03-29,2010-03-29,Llibertat vigilada,2010-03-26,Alta,notapplicable,notapplicable,notapplicable,27.0,9.0,8.0,10.0,3.0,Alt,Moderat,Moderat,Moderat,Baix,Moderat,Moderat,Baix,Baix,Alt,Alt,Baix,Alt,Alt,Alt,Baix,Moderat,Alt,Alt,Alt,Moderat,Alt,Baix,Baix,Absent,Absent,Present,Present,Present,Absent,1.29,0.5,1.43,1.0,0.57,2010-06-01 00:00:00,16.0,3.0,Menys de 6 mesos,Contra la propietat no violent,No violent,Internament en centre,Internament,2 o 3 reincidències,Sí,2010-06-01 00:00:00,16.0,3.0,Menys de 6 mesos,Contra la propietat no violent,No violent,Internament en centre,Internament,2 o 3 reincidències,Sí,2010,False
16,Home,Espanyol,Spain,Barcelona,17.0,1992-04-12,Amb antecedents,1 fet,Contra les persones,Violent,1,2010-02-15,Barcelona,Assessorament tècnic menors,ATM,Assessorament tècnic menors,Menys de 6 mesos,78.0,2,2010-05-04,2010-05-06,Llibertat vigilada,2010-05-04,Moderada,Baixa,notapplicable,notapplicable,19.0,11.0,6.0,2.0,0.0,Alt,Alt,Moderat,Alt,Alt,Baix,Baix,Baix,Baix,Alt,Moderat,Moderat,Moderat,Alt,Baix,Moderat,Baix,Moderat,Moderat,Baix,Baix,Baix,Baix,Baix,Present,Present,Present,Present,Present,Present,1.57,0.0,0.43,0.6,0.29,2013-01-07 00:00:00,20.0,6.0,De 2 a 3 anys,Contra la propietat violent,Violent,SIPC - Presó,Presó,Més de 3 reincidències,Sí,2013-01-07 00:00:00,20.0,6.0,De 2 a 3 anys,Contra la propietat violent,Violent,SIPC - Presó,Presó,Més de 3 reincidències,Sí,2010,True
18,Home,Espanyol,Spain,Barcelona,15.0,1991-03-12,Amb antecedents,2 fets,Contra les persones,Violent,2,2006-06-18,Girona,Internament en centre,Mesures d'execució,Internament,Més d'1 any,914.0,657,2008-12-18,2010-10-06,Internament,2010-09-16,Alta,Alta,Moderada,Alta,37.0,17.0,9.0,11.0,6.0,Alt,Alt,Moderat,Alt,Moderat,Alt,Alt,Alt,Moderat,Alt,Alt,Moderat,Alt,Alt,Baix,Alt,Moderat,Alt,Alt,Moderat,Alt,Moderat,Moderat,Moderat,Absent,Absent,Absent,Absent,Absent,Absent,1.71,1.75,1.43,1.2,1.14,2012-07-13 00:00:00,21.0,6.0,D'1 a 2 anys,Contra les persones,Violent,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí,2012-07-13 00:00:00,21.0,4.0,D'1 a 2 anys,Contra les persones,Violent,MPA - Treballs en benefici de la comunitat,TBC,Més de 3 reincidències,Sí,2006,True
